ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7td,excess_return_7td
LQDT,1235468,2025-12-10,0,346.0,31.45,10881.699999999999,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000012,31.639999389648438,-0.0031605080926079268,0.0044164628787978265
LQDT,1235468,2025-12-10,0,74.0,31.45,2327.2999999999997,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000012,31.639999389648438,-0.0031605080926079268,0.0044164628787978265
LQDT,1235468,2025-12-11,0,8196.0,31.62,259157.52000000002,0,1,0,,D,0001797913-25-000003,31.709999084472656,-0.027436107127192428,-0.02417429498040211
LRCX,707549,2025-10-13,0,52190.0,138.9,7249191.0,1,0,0,Senior Vice President,D,0001707826-25-000004,137.58349609375,0.02496187063253493,0.018247886263915002
LRCX,707549,2025-10-27,0,6010.0,157.46,946334.6000000001,1,0,0,Chief Legal Officer,D,0001642415-25-000005,156.64212036132812,0.05194395938785653,0.06341570919368492
LRCX,707549,2025-10-27,0,3000.0,157.48,472439.99999999994,1,0,0,Chief Legal Officer,D,0001642415-25-000005,156.64212036132812,0.05194395938785653,0.06341570919368492
LRCX,707549,2025-11-03,0,1298.0,159.99,207667.02000000002,0,1,0,,D,0001405693-25-000007,160.97499084472656,0.0011163396117997012,0.0012696229647358684
LRCX,707549,2025-11-07,0,30.0,159.52,4785.6,0,1,0,,D,0001405693-25-000009,159.08810424804688,-0.10109823539195001,-0.08453064775305348
LRCX,707549,2025-11-14,0,40080.0,150.6,6036048.0,1,0,0,Chief Financial Officer & EVP,D,0001469469-25-000004,148.0163116455078,0.02475383224006193,0.020036056590977135
LRCX,707549,2025-12-17,0,113300.0,163.86,18565338.0,1,0,0,President and CEO,D,0001343600-25-000006,154.97999572753906,0.13479158578874836,0.10737032963141172
LRCX,707549,2025-12-17,0,50000.0,163.86,8193000.000000001,1,0,0,President and CEO,D,0001343600-25-000006,154.97999572753906,0.13479158578874836,0.10737032963141172
LSAK,1041514,2025-12-05,1,3736.0,4.14,15467.039999999999,1,1,0,Group CFO,I,0001062993-25-017253,4.059999942779541,0.0689655698902934,0.07917460251077049
LSAK,1041514,2025-12-05,1,7000.0,4.21,29470.0,1,1,0,Group CFO,D,0001062993-25-017253,4.059999942779541,0.0689655698902934,0.07917460251077049
LSAK,1041514,2025-12-08,1,2500.0,4.16,10400.0,1,1,0,Group CFO,I,0001062993-25-017253,4.150000095367432,0.02650605565941924,0.04477515833006033
LSAK,1041514,2025-12-09,1,5761.0,4.21,24253.81,1,1,0,Group CFO,I,0001062993-25-017297,4.210000038146973,0.038004714005307506,0.04761657076054636
LSAK,1041514,2025-12-10,1,11503.0,4.4,50613.200000000004,1,1,0,Group CFO,I,0001062993-25-017297,4.420000076293945,0.002262387301373593,0.009839358272779347
LSCC,855658,2025-11-06,1,12525.0,63.91,800472.75,1,1,0,President & CEO,D,0001437749-25-033983,62.5099983215332,-0.0124779843263599,-0.005348908743365665
LSCC,855658,2025-11-06,1,7475.0,63.16,472121.0,1,1,0,President & CEO,D,0001437749-25-033983,62.5099983215332,-0.0124779843263599,-0.005348908743365665
LSCC,855658,2025-11-07,1,4100.0,62.43,255963.0,1,1,0,President & CEO,I,0001437749-25-033983,63.4900016784668,0.019058044381589163,0.03562563202048569
LSCC,855658,2025-11-07,1,5900.0,61.62,363558.0,1,1,0,President & CEO,I,0001437749-25-033983,63.4900016784668,0.019058044381589163,0.03562563202048569
LSCC,855658,2025-11-11,0,2593.0,66.75,173082.75,1,0,0,"CVP, Chief Accounting Officer",D,0001437749-25-034338,66.05999755859375,-0.032243374691752126,0.012720498495658074
LSCC,855658,2025-11-28,0,5708.0,69.93,399160.44000000006,1,0,0,"SVP, R&D",D,0001437749-25-036603,70.20999908447266,0.1102406774632942,0.1114934100629154
LSCC,855658,2025-12-03,0,2593.0,74.93,194293.49000000002,1,0,0,"CVP, Chief Accounting Officer",D,0001437749-25-036896,75.12999725341797,0.006522101837848399,0.009779177732043724
LSCC,855658,2025-12-12,0,839.0,78.09,65517.51,1,0,0,"SVP, R&D",D,0001437749-25-037793,75.62000274658203,0.012033800577400467,-3.2250960031655895e-05
LSCC,855658,2025-12-18,0,7735.0,73.3,566975.5,1,0,0,"SVP, General Counsel",D,0001437749-25-038380,73.02999877929688,0.021224196599565325,0.0032928642789139644
LSCC,855658,2025-12-18,0,2230.0,73.93,164863.90000000002,1,0,0,"SVP, General Counsel",D,0001437749-25-038380,73.02999877929688,0.021224196599565325,0.0032928642789139644
LTBR,1084554,2025-10-01,0,1947.0,20.85,40594.950000000004,0,1,0,,D,0000891839-25-000059,20.489999771118164,0.07759883701068106,0.10124444808905997
LTBR,1084554,2025-10-07,0,1448.0,22.67,32826.16,0,1,0,,D,0000891839-25-000061,23.149999618530273,0.1408207465486258,0.15355719382557345
LTBR,1084554,2025-10-08,0,1246.0,22.89,28520.940000000002,0,1,0,,D,0000891839-25-000063,23.09000015258789,0.025985291360098993,0.039268407385779
LTBR,1084554,2025-10-10,0,7616.0,25.84,196797.44,1,1,0,President and CEO,D,0000891839-25-000075,22.079999923706055,0.05389495190984944,0.025991089333337877
LTBR,1084554,2025-10-10,0,25093.0,25.06,628830.58,1,0,0,"EVP, Nuclear Operations",D,0000891839-25-000073,22.079999923706055,0.05389495190984944,0.025991089333337877
LTBR,1084554,2025-10-13,0,20600.0,26.01,535806.0,1,1,0,President and CEO,D,0000891839-25-000077,26.90999984741211,-0.2095874924425474,-0.21630147681116732
LTBR,1084554,2025-10-15,0,32296.0,28.07,906548.72,1,1,0,President and CEO,D,0000891839-25-000079,27.239999771118164,-0.07011746929004128,-0.08820003514209099
LTBR,1084554,2025-11-03,0,1948.0,26.73,52070.04,0,1,0,,D,0000891839-25-000095,24.780000686645508,-0.1864407066672609,-0.18628742331432474
LTBR,1084554,2025-11-20,0,4527.0,15.22,68900.94,1,0,0,CFO,D,0000891839-25-000143,14.529999732971191,0.08189955649877206,0.03745529459297894
LTBR,1084554,2025-12-01,0,1948.0,15.47,30135.56,0,1,0,,D,0000891839-25-000156,15.170000076293945,0.09162817288449325,0.08075861234142448
LTBR,1084554,2025-12-05,0,8030.0,17.5,140525.0,1,0,0,CFO,D,0000891839-25-000170,17.139999389648438,-0.1540256408202,-0.14381660819972292
LTBR,1084554,2025-12-16,0,5451.0,14.5,79039.5,1,0,0,CFO,D,0000891839-25-000187,14.5,-0.05172413793103448,-0.07079402353110778
LTC,887905,2025-11-06,1,2000.0,35.46,70920.0,0,1,0,,D,0001987058-25-000004,34.95831298828125,0.015484206216597964,0.022613281799592197
LTC,887905,2025-11-06,1,2000.0,35.35,70700.0,0,1,0,,D,0001987058-25-000004,34.95831298828125,0.015484206216597964,0.022613281799592197
LTC,887905,2025-11-07,1,1000.0,35.94,35940.0,0,1,0,,D,0001987058-25-000004,35.3126220703125,0.01616497021926777,0.0327325578581643
LTH,1869198,2025-10-13,0,4846.0,25.1,121634.6,1,0,0,EVP & Chief Financial Officer,D,0001923538-25-000003,25.3799991607666,0.02088261245748202,0.01416862808886209
LTH,1869198,2025-11-26,0,162722.0,28.04,4562724.88,1,0,0,EVP & CHIEF ADMIN. OFFICER,D,0001295458-25-000006,27.899999618530273,-0.08315411206254462,-0.0881301642692715
LTH,1869198,2025-11-28,0,74487.0,28.05,2089360.35,1,0,0,EVP & CHIEF ADMIN. OFFICER,D,0001295458-25-000006,27.920000076293945,-0.08667622026078348,-0.08542348766116228
LUCK,1840572,2025-11-06,1,100.0,7.95,795.0,0,1,0,,D,0001628280-25-051121,8.012385368347168,-0.07178220326021428,-0.06465312767722005
LUCK,1840572,2025-11-07,1,1500.0,7.9,11850.0,0,1,0,,D,0001628280-25-051121,7.982636451721191,-0.10062116498361309,-0.08405357734471657
LUCK,1840572,2025-11-17,1,4685.0,7.62,35699.7,0,1,0,,D,0001628280-25-052856,7.437238693237305,0.033985915258171115,0.012974061408040825
LUCK,1840572,2025-11-28,1,30000.0,8.09,242700.0,0,1,0,,D,0001628280-25-054849,7.820000171661377,0.12276208954428454,0.12401482214390573
LUCK,1840572,2025-11-28,1,30000.0,8.09,242700.0,0,1,0,,I,0001628280-25-054849,7.820000171661377,0.12276208954428454,0.12401482214390573
LUCK,1840572,2025-12-08,1,243.04,8.53,2073.1312,1,0,0,Chief Financial Officer,D,0001628280-25-056116,8.539999961853027,0.035128828111817535,0.05339793078245862
LUCK,1840572,2025-12-08,1,520.0,8.47,4404.400000000001,0,1,0,,D,0001628280-25-056115,8.539999961853027,0.035128828111817535,0.05339793078245862
LUCK,1840572,2025-12-08,1,37.99,8.75,332.4125,1,0,0,President,D,0001628280-25-056114,8.539999961853027,0.035128828111817535,0.05339793078245862
LUCYW,1808377,2025-12-04,1,2507.0,1.5,3760.5,0,0,0,,D,0001376474-25-000966,0.057999998331069946,0.0,0.0059223625761942525
LUCYW,1808377,2025-12-10,1,50300.0,1.49,74947.0,0,0,0,,D,0001376474-25-000972,0.07400000095367432,-0.3513513540725276,-0.34377438310112185
LUCYW,1808377,2025-12-11,1,8423.0,1.58,13308.34,0,0,0,,D,0001376474-25-000972,0.08500000089406967,-0.4117647033042974,-0.40850289115750704
LUCYW,1808377,2025-12-17,1,5366.0,1.38,7405.079999999999,0,0,0,,D,0001376474-25-000980,0.052000001072883606,0.07692308794464563,0.04950183178730897
LUCYW,1808377,2025-12-18,1,7600.0,1.38,10488.0,0,0,0,,D,0001376474-25-000980,0.06599999964237213,-0.48484845406096155,-0.5027797863816129
LUCYW,1808377,2025-12-19,1,4835.0,1.37,6623.950000000001,0,0,0,,D,0001376474-25-000984,0.04800000041723251,-0.12500001940255348,-0.12660950071062282
LUCYW,1808377,2025-12-22,1,367.0,1.35,495.45000000000005,0,0,0,,D,0001376474-25-000984,0.05000000074505806,-0.020000040233134623,-0.017089514979903804
LUCYW,1808377,2025-12-23,1,32958.0,1.33,43834.14,0,0,0,,D,0001376474-25-000984,0.05000000074505806,0.0,0.0011201837293525307
LUCYW,1808377,2025-12-24,1,928.0,1.31,1215.68,0,0,0,,D,0001376474-25-000984,0.0560000017285347,-0.07142858093186272,-0.07327075170256532
LUCYW,1808377,2025-12-26,1,90709.0,1.22,110664.98,0,0,0,,D,0001376474-25-000984,0.0560000017285347,0.39285712860220595,0.3941572503494619
LULU,1397187,2025-09-30,0,615.0,178.0,109470.0,1,0,0,Chief Brand Officer,D,0001397187-25-000042,177.92999267578125,-0.025009819206539507,-0.03198450435322479
LULU,1397187,2025-12-16,0,11605.0,204.08,2368348.4000000004,1,0,0,Pres Americas & Global Guest,D,0001397187-25-000065,206.74000549316406,0.010786474162170795,-0.008283411437902503
LULU,1397187,2025-12-16,0,1906.0,203.48,387832.88,1,0,0,Pres Americas & Global Guest,D,0001397187-25-000065,206.74000549316406,0.010786474162170795,-0.008283411437902503
LUNG,1127537,2025-12-01,0,2524.0,1.57,3962.6800000000003,1,1,0,President and CEO,D,0001805624-25-000005,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,6281.0,1.57,9861.17,1,1,0,President and CEO,D,0001805624-25-000005,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,1522.0,1.57,2389.54,1,0,0,CHIEF COMMERCIAL OFFICER,D,0001804146-25-000004,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,1738.0,1.57,2728.6600000000003,1,0,0,CHIEF COMMERCIAL OFFICER,D,0001804146-25-000004,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,683.0,1.57,1072.31,1,0,0,CHIEF COMMERCIAL OFFICER,D,0001804146-25-000004,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,2379.0,1.57,3735.03,1,0,0,CHIEF COMMERCIAL OFFICER,D,0001804146-25-000004,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,2176.0,1.57,3416.32,1,0,0,GENERAL COUNSEL,D,0001354228-25-000006,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,3725.0,1.57,5848.25,1,0,0,GENERAL COUNSEL,D,0001354228-25-000006,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,976.0,1.57,1532.3200000000002,1,0,0,GENERAL COUNSEL,D,0001354228-25-000006,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-01,0,3401.0,1.57,5339.570000000001,1,0,0,GENERAL COUNSEL,D,0001354228-25-000006,1.7599999904632568,0.39772730197541983,0.3868577414323511
LUNG,1127537,2025-12-08,0,23321.0,1.99,46408.79,0,1,0,,D,0001402459-25-000005,2.0399999618530273,0.24509804379889627,0.26336714646953735
LUNR,1844452,2025-11-12,1,141080.0,9.27,1307811.5999999999,0,1,0,,D,0001213900-25-110210,9.34000015258789,-0.07708782176297008,-0.04089856684139961
LUNR,1844452,2025-11-13,1,100000.0,8.83,883000.0,0,1,0,,D,0001213900-25-110210,8.65999984741211,0.03926098828852679,0.044065465335832346
LUNR,1844452,2025-12-19,0,41407.0,15.01,621519.07,1,1,0,Chief Executive Officer,D,0001213900-25-125402,14.9399995803833,0.08634538139792446,0.0847359000898551
LUNR,1844452,2025-12-19,0,58800.0,15.0,882000.0,1,0,0,SVP and Chief Growth Officer,D,0001213900-25-125400,14.9399995803833,0.08634538139792446,0.0847359000898551
LUNR,1844452,2025-12-19,0,24986.0,13.2,329815.19999999995,1,0,0,SVP and Chief Growth Officer,D,0001213900-25-125400,14.9399995803833,0.08634538139792446,0.0847359000898551
LUNR,1844452,2025-12-19,0,8741.0,12.06,105416.46,1,0,0,SVP and Chief Growth Officer,D,0001213900-25-125400,14.9399995803833,0.08634538139792446,0.0847359000898551
LUNR,1844452,2025-12-19,0,57473.0,14.19,815541.87,1,0,0,SVP and Chief Growth Officer,D,0001213900-25-125400,14.9399995803833,0.08634538139792446,0.0847359000898551
