ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value,close,return_7td,excess_return_7td,total_shares_count,shares_traded_pct,label_7td
GLP-PB,2024-05-29,5,120000.0,5291200.0,0,0,0,1058240.0,22.0201416015625,0.020131753460576864,0.004935095794488748,,,0
GLP-PB,2024-06-20,5,55000.0,2604350.0,0,0,0,520870.0,22.43840217590332,-0.005721178305169461,-0.006071966221935303,,,0
GLP-PB,2024-08-27,2,8700.0,366499.0,0,0,0,183249.5,22.500900268554688,0.00510106339332397,0.043740881794145106,,,0
GLP-PB,2024-09-20,8,76426.0,3317766.46,0,0,0,414720.8075,22.63311004638672,-0.0003813330357952475,-0.0014686002276404525,,,0
GLP-PB,2024-11-25,3,30000.0,1524450.0,0,0,0,508150.0,23.26827049255371,0.0027930348319879666,-0.011861102857259272,,,0
GLP-PB,2024-12-24,5,29000.0,1485870.0,0,0,0,297174.0,23.307226181030273,0.0037256236835293568,0.014430876601030906,,,0
GLP-PB,2025-03-25,1,10000.0,532100.0,0,0,0,532100.0,23.747005462646484,0.006831739391997121,0.07263629553417748,,,1
GLP-PB,2025-05-20,2,23367.0,1145887.44,0,0,0,572943.72,23.928707122802734,1.9449152184355005e-05,0.0048625117635700274,,,0
GLP-PB,2025-06-12,5,35000.0,1877400.0,0,0,0,375480.0,24.022409439086914,0.0035508696899424286,-0.0042106512331206766,,,0
GLP-PB,2025-08-21,3,37453.0,1895727.26,0,0,0,631909.0866666667,24.5408992767334,0.0015563674314201556,-0.005565909955828211,,,0
GLP-PB,2025-09-19,3,22500.0,1156450.0,0,0,0,385483.3333333333,24.569543838500977,0.001302020561708687,-0.002314245388909431,,,0
GLP-PB,2025-09-25,2,15223.0,760470.66,0,0,0,380235.33,24.56878089904785,0.005375154965209927,-0.015149494967399972,,,0
GLP-PB,2025-11-20,2,14898.0,634924.65,0,0,0,317462.325,25.09920883178711,0.002798951365940245,-0.04164531053985288,,,0
GLP-PB,2025-12-19,7,43321.0,1888914.29,0,0,0,269844.89857142855,25.149917602539062,0.0003923918154378195,-0.0012170894926315345,,,0
GLP-PB,2025-12-23,1,2330.0,100186.6,0,0,0,100186.6,25.179229736328125,0.0007761434442770519,0.0018963271736295827,,,0
GLPI,2022-03-01,2,13016.0,590260.9199999999,0,1,0,295130.45999999996,34.91640090942383,0.019027053601911915,0.029880961317106682,283008342.0,0.004599157716700802,0
GLPI,2022-03-14,1,2500.0,111925.00000000001,0,1,0,111925.00000000001,34.806915283203125,0.005217754019322206,-0.06262861963716454,283008342.0,0.0008833661871352188,0
GLPI,2023-03-01,1,1000.0,53820.0,0,1,0,53820.0,44.44537353515625,-0.04622804325226966,-0.023501912161999247,283008342.0,0.0003533464748540875,0
GLPI,2023-08-03,1,1000.0,47350.0,0,1,0,47350.0,40.59828567504883,-0.006293106842249124,-0.00358981522352691,283008342.0,0.0003533464748540875,0
GLPI,2023-08-17,2,2500.0,116485.0,0,1,0,58242.5,38.818336486816406,0.010311326834508746,-0.004092566044288934,283008342.0,0.0008833661871352188,0
GLPI,2024-03-01,1,2500.0,112500.0,0,1,0,112500.0,39.87043762207031,0.02731291349352781,0.019878740612152546,283008342.0,0.0008833661871352188,0
GLQ,2023-02-08,1,14951.0,93443.75,0,0,0,93443.75,4.415075302124023,-0.0048542598814310355,0.004560770420190723,18738121.0,0.07978921685904365,0
GLQ,2023-05-05,1,5000.0,29650.0,0,0,0,29650.0,4.3162126541137695,-0.0016833201609323452,0.004687208133114195,18738121.0,0.026683571954733348,0
GLQ,2023-05-31,3,20175.05,120202.0395,0,1,0,40067.3465,4.272171497344971,0.042954807317861825,0.014477624530171873,18738121.0,0.1076684796730686,0
GLQ,2023-06-30,2,20028.47,124073.38230000001,0,1,0,62036.691150000006,4.625085353851318,0.011218302126077129,0.006324276444895155,18738121.0,0.10688622407764364,0
GLQ,2023-07-31,1,37.5,236.62499999999997,0,1,0,236.62499999999997,4.758294582366943,-0.02358534290516148,0.002836766032836155,18738121.0,0.00020012678966050012,0
GLQ,2023-08-31,2,15039.88,94288.8812,0,1,0,47144.4406,4.541552543640137,-0.029949835820403458,-0.01979817124941709,18738121.0,0.080263544034111,0
GLQ,2023-09-29,1,44.6,240.84000000000003,0,1,0,240.84000000000003,4.185103893280029,0.014598260709855608,-0.0017705859417786688,18738121.0,0.00023801746183622148,0
GLQ,2023-10-31,1,47.38,244.00700000000003,0,1,0,244.00700000000003,4.061394214630127,0.04942962967050475,0.012815985691332563,18738121.0,0.0002528535278430532,0
GLQ,2024-02-12,1,20000.0,127800.0,0,0,0,127800.0,5.080665111541748,-0.0015375046680282277,-0.014518791095826804,18738121.0,0.10673428781893339,0
GLQ,2024-03-20,1,20000.0,128400.0,0,0,0,128400.0,5.233565807342529,0.010852817567868604,0.007187498001235937,18738121.0,0.10673428781893339,0
GLQ,2024-04-30,1,50000.0,317900.0,0,0,0,317900.0,5.152194023132324,0.031796677332781485,-0.0036284856130001514,18738121.0,0.2668357195473335,0
GLQ,2024-11-29,1,40.46,277.5556,0,1,0,277.5556,5.977189064025879,-0.0014575901187340418,-0.0018770387421056026,18738121.0,0.00021592346425770227,0
GLQ,2024-12-30,1,42.01,280.2067,0,1,0,280.2067,5.844966411590576,0.010526291744600146,0.024052737440055857,18738121.0,0.0002241953715636696,0
GLQ,2025-01-31,1,44.01,304.5492,0,1,0,304.5492,6.095758438110352,0.0029111217287721616,-0.0017193023960261067,18738121.0,0.0002348688003455629,0
GLQ,2025-02-28,1,46.01,307.3468,0,1,0,307.3468,5.965376853942871,-0.055555573318693666,0.008669831968274172,18738121.0,0.0002455422291274563,0
GLQ,2025-03-31,1,49.04,310.4232,0,1,0,310.4232,5.691501617431641,-0.0349760354103538,-0.007364785534450333,18738121.0,0.0002617124737320247,0
GLQ,2025-04-30,1,50.08,313.50079999999997,0,1,0,313.50079999999997,5.754795074462891,0.028616799848864997,0.012303436965292385,18738121.0,0.0002672626566986092,0
GLQ,2025-05-30,1,47.02,316.9148,0,1,0,316.9148,6.22601842880249,0.028189907456643445,0.006686730116923029,18738121.0,0.0002509323106623124,0
GLQ,2025-06-30,1,45.51,319.9353,0,1,0,319.9353,6.639771461486816,0.005617895222918272,-0.006551383054616252,18738121.0,0.00024287387193198292,0
GLQ,2025-07-31,1,44.68,323.0364,0,1,0,323.0364,6.813012599945068,0.008287418682197546,0.0029146528704724157,18738121.0,0.0002384443989874972,0
GLQ,2025-08-29,1,43.98,325.8918,0,1,0,325.8918,7.0344438552856445,0.005398074252567295,-0.005712976392708977,18738121.0,0.0002347086989138345,0
GLQ,2025-09-30,1,43.14,328.7268,0,1,0,328.7268,7.286876201629639,0.015768677895313523,0.008793992748628241,18738121.0,0.00023022585882543934,0
GLQ,2025-10-31,1,42.19,331.6134,0,1,0,331.6134,7.591099739074707,-0.0012722609548301506,-0.0022093194890441727,18738121.0,0.00022515598015403998,0
GLRE,2025-11-20,3,60000.0,766750.0,1,1,0,255583.33333333334,12.600000381469727,0.088095208180285,0.04365094627449188,34099226.0,0.1759570730432415,0
GLSI,2022-01-03,1,2050.0,48831.0,1,1,0,48831.0,23.600000381469727,-0.13008473072884882,-0.11544716545710612,13854539.0,0.014796594819935907,0
GLSI,2022-02-04,8,9800.0,189651.0,1,1,0,23706.375,19.719999313354492,-0.02332652639400156,-0.01678063905543411,13854539.0,0.07073494109042532,0
GLSI,2022-02-11,1,5500.0,108900.0,1,1,0,108900.0,19.8700008392334,-0.11172627714839968,-0.06801596566279985,13854539.0,0.03969818122421829,0
GLSI,2022-04-25,4,13500.0,221600.0,1,1,0,55400.0,15.699999809265137,-0.2324840549600693,-0.23342672056927746,13854539.0,0.0974409902776267,0
GLSI,2022-06-09,4,26524.0,227579.62,1,1,0,56894.905,10.520000457763672,-0.27471484957873343,-0.2117379056161342,13854539.0,0.1914462834165756,0
GLSI,2022-06-24,4,61000.0,516690.0,1,1,0,129172.5,8.479999542236328,0.04009435978085283,0.05713534723804346,13854539.0,0.44028891903223916,1
GLSI,2022-10-07,3,4000.0,38130.0,1,1,0,12710.0,9.579999923706055,0.03549062163837267,0.013422606961466965,13854539.0,0.02887140452670421,0
GLSI,2022-11-02,2,5000.0,46830.0,1,1,0,23415.0,8.8100004196167,0.12599314458665364,0.06395611656855718,13854539.0,0.03608925565838026,1
GLSI,2022-12-02,2,1250.0,17335.0,1,1,0,8667.5,13.75,-0.05236365578391335,-0.03958028533611194,13854539.0,0.009022313914595065,0
GLSI,2022-12-29,4,7250.0,103225.0,1,1,0,25806.25,15.270000457763672,0.005239025625921354,-0.012938392013373129,13854539.0,0.05232942070465138,0
GLSI,2023-02-03,6,5750.0,101660.0,1,1,0,16943.333333333332,20.43000030517578,-0.14439553200555233,-0.14431089539232006,13854539.0,0.041502644007137296,0
GLSI,2023-02-24,3,1850.0,32448.0,1,1,0,10816.0,14.779999732971191,-0.07374832018138137,-0.07786164850158045,13854539.0,0.013353024593600696,0
GLSI,2023-03-15,2,1250.0,15297.5,1,1,0,7648.75,12.920000076293945,0.02244581734833958,0.002131973064811433,13854539.0,0.009022313914595065,0
GLSI,2023-04-28,5,15250.0,176715.0,1,1,0,35343.0,10.710000038146973,0.06535945908234092,0.07742572605793963,13854539.0,0.11007222975805979,1
GLSI,2023-05-17,1,1000.0,11690.0,1,1,0,11690.0,11.739999771118164,-0.07751276534526179,-0.08873728018066293,13854539.0,0.007217851131676053,0
GLSI,2023-07-21,2,1250.0,11572.5,1,1,0,5786.25,9.100000381469727,0.08681317898202502,0.07790949493057592,13854539.0,0.009022313914595065,1
GLSI,2023-08-22,2,3000.0,31070.0,1,1,0,15535.0,10.0,-0.08299999237060547,-0.110375260324072,13854539.0,0.02165355339502816,0
GLSI,2023-09-26,3,5600.0,50506.0,1,1,0,16835.333333333332,8.569999694824219,-0.007001104793343108,-0.0034116027841885987,13854539.0,0.04041996633738589,0
GLSI,2023-10-27,5,8500.0,70315.0,1,1,0,14063.0,8.520000457763672,0.24530505711523834,0.18191270758235473,13854539.0,0.06135173461924644,1
GLSI,2023-11-10,2,8500.0,82735.0,1,1,0,41367.5,10.170000076293945,0.042281248962633036,0.014434585926266192,13854539.0,0.06135173461924644,0
GLSI,2024-02-16,2,23500.0,261117.0,1,1,0,130558.5,11.239999771118164,0.07473311118264611,0.061909408055846056,13854539.0,0.1696195015943872,1
GLSI,2024-03-22,5,42100.0,554553.0,1,1,0,110910.6,19.6200008392334,-0.09684003285461347,-0.09250507673078012,13854539.0,0.3038715326435618,0
GLSI,2024-04-01,1,3000.0,57239.99999999999,1,1,0,57239.99999999999,19.040000915527344,-0.16859248095957263,-0.15273940530925434,13854539.0,0.02165355339502816,0
GLSI,2024-06-13,1,174825.0,2499997.5,1,1,0,2499997.5,14.850000381469727,0.03569021679168041,0.02914600069398355,13854539.0,1.2618608240952658,0
